bike_number,bike_model,accumulated_hours_past,total_trips_past
16760,CLASSIC,9.582973333333333,36
16765,CLASSIC,9.998327777777778,39
16778,CLASSIC,4.096655,20
16782,CLASSIC,3.1117341666666665,14
16799,CLASSIC,9.1024325,31
16801,CLASSIC,6.861825833333333,21
16803,CLASSIC,4.947446111111111,23
16806,CLASSIC,0.5828436111111112,6
16812,CLASSIC,7.265138333333334,29
16814,CLASSIC,2.437133888888889,10
16827,CLASSIC,5.016521666666667,17
16830,CLASSIC,5.997962222222222,16
16839,CLASSIC,11.656104444444445,38
16852,CLASSIC,7.3781027777777775,29
16853,CLASSIC,4.228950833333333,16
16856,CLASSIC,1.8157080555555556,7
16871,CLASSIC,5.205873055555555,24
16874,CLASSIC,3.9061255555555556,11
16886,CLASSIC,6.195121111111111,25
16890,CLASSIC,7.806105277777778,33
16908,CLASSIC,11.203886666666667,58
16914,CLASSIC,11.232905555555556,49
16926,CLASSIC,7.620595833333333,29
16929,CLASSIC,5.9513575,24
16932,CLASSIC,5.016269722222222,26
16941,CLASSIC,6.812358888888889,30
16944,CLASSIC,8.666014444444444,33
16957,CLASSIC,7.308033611111111,18
16973,CLASSIC,5.91203,23
16979,CLASSIC,7.314932222222222,31
16987,CLASSIC,6.415523611111111,33
16990,CLASSIC,2.5257344444444447,13
16991,CLASSIC,3.4178366666666666,13
16996,CLASSIC,1.7404008333333332,6
17001,CLASSIC,16.43153138888889,46
17002,CLASSIC,3.7147825,18
17003,CLASSIC,3.851741111111111,21
17011,CLASSIC,2.522871111111111,12
17019,CLASSIC,15.924483055555555,65
17024,CLASSIC,0.4683158333333333,2
17029,CLASSIC,8.926753611111112,38
17031,CLASSIC,3.960113333333333,21
17035,CLASSIC,4.638356111111111,17
17055,CLASSIC,16.696156388888888,49
17059,CLASSIC,3.1972330555555555,14
17062,CLASSIC,3.6261055555555557,15
17067,CLASSIC,0.4209627777777778,4
17081,CLASSIC,10.593078888888888,44
17082,CLASSIC,11.298350277777777,46
17085,CLASSIC,7.537337777777778,18
17090,CLASSIC,9.347177777777777,37
17092,CLASSIC,4.706581944444444,16
17114,CLASSIC,1.937703888888889,11
17121,CLASSIC,5.534928333333333,26
17123,CLASSIC,5.7225713888888885,28
17126,CLASSIC,5.9420794444444445,24
17129,CLASSIC,13.637987777777777,44
17135,CLASSIC,5.2060458333333335,25
17141,CLASSIC,3.2311180555555556,13
17154,CLASSIC,11.878461944444444,43
17157,CLASSIC,7.198541666666666,30
